fips,county_name,pcp_rate_per_100k,pcp_ratio,mental_health_provider_rate_per_100k,mental_health_provider_ratio,dentist_rate_per_100k,dentist_ratio,uninsured_pct,preventable_hospitalization_rate,child_poverty_pct,life_expectancy_years,median_household_income,rural_pct,population,hpsa_active_count,hpsa_max_score,hpsa_underserved_population,heart_disease_pct,asthma_pct,depression_pct,diabetes_pct,fair_or_poor_health_pct,frequent_mental_distress_pct,high_blood_pressure_pct,no_physical_activity_pct,obesity_pct,annual_checkup_pct,heart_disease_pct_source_type,asthma_pct_source_type,depression_pct_source_type,diabetes_pct_source_type,fair_or_poor_health_pct_source_type,frequent_mental_distress_pct_source_type,high_blood_pressure_pct_source_type,no_physical_activity_pct_source_type,obesity_pct_source_type,annual_checkup_pct_source_type
48157,Fort Bend,84.67992000000001,1181:1,118.89465,841:1,58.14568,1720:1,12.355141773,2830.0,10.1,80.957480855,106213,4.7980077275,916778,1,19.0,0.0,4.4,8.9,17.6,11.1,16.6,14.6,30.3,24.0,29.4,74.5,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48159,Franklin,28.669719999999998,3488:1,37.26129,2684:1,37.67188,2655:1,14.633251834,2183.0,21.0,74.456863791,59972,100.0,10735,2,14.0,94.0,5.3,10.2,24.4,9.9,18.5,18.3,31.4,23.8,35.5,72.7,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48161,Freestone,30.342869999999998,3296:1,34.2449,2920:1,30.075190000000003,3325:1,18.933258866,3289.0,20.8,74.444072466,58850,100.0,20441,2,15.0,7186.0,6.0,10.3,23.8,11.9,22.5,19.4,35.2,28.4,38.2,72.7,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48163,Frio,21.69668,4609:1,33.357420000000005,2998:1,28.06624,3563:1,21.861186506,2957.0,36.2,72.41843734,50112,50.704378569,17987,3,21.0,491.0,6.6,8.6,19.1,16.5,32.7,17.5,35.0,39.5,41.5,69.7,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48165,Gaines,9.134509999999999,10948:1,22.19953,4505:1,13.525089999999999,7394:1,31.98876179,2257.0,19.3,73.829826357,66019,67.274747662,22523,1,13.0,11843.0,6.0,10.1,23.4,12.3,26.5,19.6,32.2,32.5,36.5,69.6,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48167,Galveston,70.41024,1420:1,158.67575,630:1,51.80375,1930:1,15.833929753,3666.0,14.8,76.055944864,83080,4.0643660068,361744,2,21.0,5990.0,5.1,9.8,22.2,10.8,18.9,17.3,32.7,24.8,33.8,73.1,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48169,Garza,17.05611,5863:1,22.13859,4517:1,31.93868,3131:1,22.182680902,1166.0,26.8,73.463757665,53190,100.0,4517,1,14.0,1432.0,6.7,9.3,20.8,14.5,29.5,18.3,35.0,35.9,39.9,70.1,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48171,Gillespie,117.22900000000001,853:1,93.75113,1067:1,76.42756,1308:1,24.687352833,1055.0,13.2,78.652631879,76238,56.441534144,27733,0,,0.0,5.0,9.6,23.2,9.5,17.8,17.1,29.9,23.1,33.7,72.5,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48173,Glasscock,0.0,1149:0,,,0.0,1164:0,17.343904856,,8.0,,99602,100.0,1141,1,9.0,1070.0,4.9,9.1,21.3,9.9,17.4,15.8,30.0,22.7,33.6,72.6,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48175,Goliad,,,13.99776,7144:1,56.09311,1783:1,16.495423127,1513.0,22.4,77.844690666,64024,100.0,7144,2,15.0,2544.0,5.7,10.0,23.3,11.6,22.5,18.5,32.2,28.1,37.1,71.7,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
